,E1,v12,v13,E2,v21,v23,E3,v31,v32,G23,G31,G12,CTE_1,CTE_2,CTE_3
373,5.3240e+04,0.1509,0.4780,5.3240e+04,0.1509,0.4780,1.2196e+04,0.1095,0.1095,3.1851e+03,3.1851e+03,3.9574e+03,0.0000e+00,0.0000e+00,0.0000e+00
374,6.6579e+04,0.1831,0.4646,6.6579e+04,0.1831,0.4646,1.0461e+04,0.0730,0.0730,2.7950e+03,2.7950e+03,3.2231e+03,0.0000e+00,0.0000e+00,0.0000e+00
375,3.1495e+04,0.2388,0.6553,3.1495e+04,0.2388,0.6553,2.0583e+04,0.4283,0.4283,3.8700e+03,3.8700e+03,3.8520e+03,0.0000e+00,0.0000e+00,0.0000e+00
376,1.8113e+04,0.2301,0.3233,1.8113e+04,0.2301,0.3233,1.3307e+04,0.2375,0.2375,4.9159e+03,4.9159e+03,5.3298e+03,0.0000e+00,0.0000e+00,0.0000e+00
377,6.5293e+04,0.1508,0.5108,6.5293e+04,0.1508,0.5108,1.9959e+04,0.1561,0.1561,4.0611e+03,4.0611e+03,4.9704e+03,0.0000e+00,0.0000e+00,0.0000e+00
378,4.1511e+04,0.1264,0.3574,4.1511e+04,0.1264,0.3575,9.1919e+03,0.0792,0.0792,3.2661e+03,3.2661e+03,3.7882e+03,0.0000e+00,0.0000e+00,0.0000e+00
379,1.0758e+05,0.1556,0.4640,1.0758e+05,0.1556,0.4640,2.5354e+04,0.1093,0.1093,5.9636e+03,5.9636e+03,7.6577e+03,0.0000e+00,0.0000e+00,0.0000e+00
380,7.0507e+04,0.1418,0.4175,7.0507e+04,0.1418,0.4175,1.4899e+04,0.0882,0.0882,4.5186e+03,4.5186e+03,5.5617e+03,0.0000e+00,0.0000e+00,0.0000e+00
381,1.9117e+04,0.1815,0.6036,1.9117e+04,0.1815,0.6036,9.6293e+03,0.3040,0.3040,1.8979e+03,1.8979e+03,1.9158e+03,0.0000e+00,0.0000e+00,0.0000e+00
382,4.4984e+04,0.1516,0.3796,4.4984e+04,0.1516,0.3796,6.9975e+03,0.0591,0.0591,2.3582e+03,2.3582e+03,2.8623e+03,0.0000e+00,0.0000e+00,0.0000e+00
383,6.4486e+04,0.1610,0.5522,6.4486e+04,0.1610,0.5522,1.6716e+04,0.1431,0.1431,3.5710e+03,3.5710e+03,4.0511e+03,0.0000e+00,0.0000e+00,0.0000e+00
384,6.4689e+04,0.1432,0.4603,6.4689e+04,0.1432,0.4603,1.6876e+04,0.1201,0.1201,4.9037e+03,4.9037e+03,5.5143e+03,0.0000e+00,0.0000e+00,0.0000e+00
385,4.0742e+04,0.2254,0.5722,4.0742e+04,0.2254,0.5722,2.3585e+04,0.3312,0.3312,3.5393e+03,3.5393e+03,4.1451e+03,0.0000e+00,0.0000e+00,0.0000e+00
386,6.0927e+04,0.1467,0.4185,6.0927e+04,0.1467,0.4185,1.1126e+04,0.0764,0.0764,3.4419e+03,3.4419e+03,3.7076e+03,0.0000e+00,0.0000e+00,0.0000e+00
387,5.1359e+04,0.1854,0.5402,5.1359e+04,0.1854,0.5402,2.6774e+04,0.2816,0.2816,5.6861e+03,5.6861e+03,6.5955e+03,0.0000e+00,0.0000e+00,0.0000e+00
388,2.1757e+04,0.1781,0.3109,2.1757e+04,0.1781,0.3109,1.1826e+04,0.1690,0.1690,4.5245e+03,4.5245e+03,5.1059e+03,0.0000e+00,0.0000e+00,0.0000e+00
389,3.7116e+04,0.1513,0.5041,3.7116e+04,0.1513,0.5041,8.9786e+03,0.1220,0.1220,2.2295e+03,2.2295e+03,2.3879e+03,0.0000e+00,0.0000e+00,0.0000e+00
390,2.7462e+04,0.1359,0.4423,2.7462e+04,0.1359,0.4423,9.6557e+03,0.1555,0.1555,2.6597e+03,2.6597e+03,2.8802e+03,0.0000e+00,0.0000e+00,0.0000e+00
391,9.4100e+04,0.2065,0.6624,9.4100e+04,0.2065,0.6624,5.0946e+04,0.3586,0.3586,5.4244e+03,5.4244e+03,5.8929e+03,0.0000e+00,0.0000e+00,0.0000e+00
392,1.1818e+05,0.1373,0.3577,1.1818e+05,0.1373,0.3577,2.1870e+04,0.0662,0.0662,6.9995e+03,6.9995e+03,9.2692e+03,0.0000e+00,0.0000e+00,0.0000e+00
393,5.3074e+04,0.1640,0.5667,5.3074e+04,0.1640,0.5667,1.8148e+04,0.1938,0.1938,3.7921e+03,3.7921e+03,4.1718e+03,0.0000e+00,0.0000e+00,0.0000e+00
394,7.0564e+04,0.1366,0.3337,7.0564e+04,0.1366,0.3337,1.1530e+04,0.0545,0.0545,3.9885e+03,3.9885e+03,5.1582e+03,0.0000e+00,0.0000e+00,0.0000e+00
395,2.7209e+04,0.2252,0.4684,2.7209e+04,0.2252,0.4684,1.6234e+04,0.2795,0.2795,4.7414e+03,4.7414e+03,5.2114e+03,0.0000e+00,0.0000e+00,0.0000e+00
396,3.5131e+04,0.1339,0.4243,3.5131e+04,0.1339,0.4243,1.2230e+04,0.1477,0.1477,3.8267e+03,3.8267e+03,4.1594e+03,0.0000e+00,0.0000e+00,0.0000e+00
397,7.3645e+04,0.2157,0.6085,7.3645e+04,0.2157,0.6085,1.8459e+04,0.1525,0.1525,2.5363e+03,2.5363e+03,2.7324e+03,0.0000e+00,0.0000e+00,0.0000e+00
398,7.5711e+04,0.1855,0.3992,7.5711e+04,0.1855,0.3992,1.0349e+04,0.0546,0.0546,3.0227e+03,3.0227e+03,3.9130e+03,0.0000e+00,0.0000e+00,0.0000e+00
399,4.4785e+04,0.1305,0.3660,4.4785e+04,0.1305,0.3660,1.6181e+04,0.1322,0.1322,5.5210e+03,5.5210e+03,6.5283e+03,0.0000e+00,0.0000e+00,0.0000e+00
400,6.3184e+04,0.1681,0.4256,6.3184e+04,0.1681,0.4256,1.0569e+04,0.0712,0.0712,2.8014e+03,2.8014e+03,3.6364e+03,0.0000e+00,0.0000e+00,0.0000e+00
401,2.6399e+04,0.3171,0.5901,2.6399e+04,0.3171,0.5901,2.0148e+04,0.4504,0.4504,3.9934e+03,3.9934e+03,4.1635e+03,0.0000e+00,0.0000e+00,0.0000e+00
402,7.1701e+04,0.1697,0.3487,7.1701e+04,0.1697,0.3487,8.8956e+03,0.0433,0.0433,3.0705e+03,3.0705e+03,3.5328e+03,0.0000e+00,0.0000e+00,0.0000e+00
403,7.1564e+04,0.1578,0.4604,7.1564e+04,0.1578,0.4604,2.3230e+04,0.1494,0.1494,5.6456e+03,5.6456e+03,7.2573e+03,0.0000e+00,0.0000e+00,0.0000e+00
404,7.8245e+04,0.1856,0.6011,7.8245e+04,0.1856,0.6011,2.6982e+04,0.2073,0.2073,4.1883e+03,4.1883e+03,4.9845e+03,0.0000e+00,0.0000e+00,0.0000e+00
405,3.4311e+04,0.1581,0.3922,3.4311e+04,0.1581,0.3922,1.6501e+04,0.1886,0.1886,5.3145e+03,5.3145e+03,5.7074e+03,0.0000e+00,0.0000e+00,0.0000e+00
406,3.3271e+04,0.1869,0.6534,3.3271e+04,0.1869,0.6534,1.4552e+04,0.2858,0.2858,2.0023e+03,2.0023e+03,2.1750e+03,0.0000e+00,0.0000e+00,0.0000e+00
407,8.5266e+04,0.1631,0.4578,8.5266e+04,0.1631,0.4578,1.5547e+04,0.0835,0.0835,4.3631e+03,4.3631e+03,5.2029e+03,0.0000e+00,0.0000e+00,0.0000e+00
408,2.9404e+04,0.1415,0.3444,2.9404e+04,0.1415,0.3444,1.0221e+04,0.1197,0.1197,3.5605e+03,3.5605e+03,4.4947e+03,0.0000e+00,0.0000e+00,0.0000e+00
409,6.3549e+04,0.1483,0.5251,6.3549e+04,0.1483,0.5251,2.1351e+04,0.1764,0.1764,4.9225e+03,4.9225e+03,5.4276e+03,0.0000e+00,0.0000e+00,0.0000e+00
410,3.3707e+04,0.1302,0.3985,3.3707e+04,0.1302,0.3985,1.0867e+04,0.1285,0.1285,3.5019e+03,3.5019e+03,3.8384e+03,0.0000e+00,0.0000e+00,0.0000e+00
411,9.6260e+04,0.1629,0.5420,9.6260e+04,0.1629,0.5420,3.4732e+04,0.1956,0.1956,6.2093e+03,6.2093e+03,7.5087e+03,0.0000e+00,0.0000e+00,0.0000e+00
412,1.2969e+04,0.2260,0.4167,1.2969e+04,0.2260,0.4167,8.4249e+03,0.2707,0.2707,2.5434e+03,2.5434e+03,2.9400e+03,0.0000e+00,0.0000e+00,0.0000e+00
413,4.4605e+04,0.1210,0.3399,4.4605e+04,0.1210,0.3399,1.2522e+04,0.0954,0.0954,4.2513e+03,4.2513e+03,4.8744e+03,0.0000e+00,0.0000e+00,0.0000e+00
414,2.6548e+04,0.2414,0.6272,2.6548e+04,0.2414,0.6272,1.7746e+04,0.4193,0.4193,3.2092e+03,3.2092e+03,3.4438e+03,0.0000e+00,0.0000e+00,0.0000e+00
415,7.4769e+04,0.1392,0.4540,7.4769e+04,0.1392,0.4540,2.0939e+04,0.1271,0.1271,5.9218e+03,5.9218e+03,7.0095e+03,0.0000e+00,0.0000e+00,0.0000e+00
416,5.2111e+04,0.1415,0.3817,5.2111e+04,0.1415,0.3817,9.9021e+03,0.0725,0.0725,3.2509e+03,3.2509e+03,4.1302e+03,0.0000e+00,0.0000e+00,0.0000e+00
417,7.5348e+04,0.1577,0.5631,7.5348e+04,0.1577,0.5631,2.1594e+04,0.1614,0.1614,4.5094e+03,4.5094e+03,4.8585e+03,0.0000e+00,0.0000e+00,0.0000e+00
418,1.7005e+04,0.1502,0.4071,1.7005e+04,0.1502,0.4071,6.6561e+03,0.1594,0.1594,2.2229e+03,2.2229e+03,2.4347e+03,0.0000e+00,0.0000e+00,0.0000e+00
419,7.9375e+04,0.1811,0.5476,7.9375e+04,0.1811,0.5476,3.0408e+04,0.2098,0.2098,4.9835e+03,4.9835e+03,6.1665e+03,0.0000e+00,0.0000e+00,0.0000e+00
420,4.2092e+04,0.1436,0.4748,4.2092e+04,0.1436,0.4748,1.3949e+04,0.1574,0.1574,3.4830e+03,3.4830e+03,4.1628e+03,0.0000e+00,0.0000e+00,0.0000e+00
421,6.2827e+04,0.1214,0.3586,6.2827e+04,0.1214,0.3586,1.4272e+04,0.0815,0.0815,4.9508e+03,4.9508e+03,5.3559e+03,0.0000e+00,0.0000e+00,0.0000e+00
422,4.6660e+04,0.1577,0.5363,4.6660e+04,0.1577,0.5363,1.1982e+04,0.1377,0.1377,2.7146e+03,2.7146e+03,2.8925e+03,0.0000e+00,0.0000e+00,0.0000e+00
423,3.1508e+04,0.1338,0.3044,3.1508e+04,0.1338,0.3044,1.4870e+04,0.1437,0.1437,5.3655e+03,5.3655e+03,6.4164e+03,0.0000e+00,0.0000e+00,0.0000e+00
